Comment,Designator,Footprint,LCSC Part #
1uF,C5 C14,CAPC1005X60,
10K,R18,RESC1005X40,
10k,R4,RESC1005X40,
10uF,C8 C9 C17,CAPC1005X60,
22uF,C1,CAPC1005X60,
22uF,C2,CAPC1608X85,
22uF,C3,CAPC1005X60,
100K,R1 R3,RESC1005X40,
120pF,C4,CAPC1005X60,
450K,R2,RESC1005X40,
ESP32-S3-WROOM,U5,S3-WROOM32,
KLM8G1GETF-B041KLMBG2JENB-B041_SAM,U1,KLMBG2JENB-B041_SAM,
MIC5504-1.8YMT-TRTDFN1010-4LD-PL-2_MCH,U2,TDFN1010-4LD-PL-2_MCH,
RKB2,SW1 SW2,BTN_RKB2_4.6X2.8,
SDER041H-2R2MS,L1,INDUCTOR_4X4MM_SRP0415,
SM04B-SRSS-TBCONN_SM04B-SRSS-TB_JST,J2 J3,CONN_SM04B-SRSS-TB_JST,
SM08B-SRSS-TB(LF)(SN)CONN_SM08B-SRSS-TB(LF)(SN)_JST,J1,CONN_SM08B-SRSS-TB(LF)(SN)_JST,
TPS6282X,IC2,VSON_6,
green,D1,CHIPLED_0603_NOOUTLINE,
DF40C-100DP-0.4V(51),JA JB,HIROSE_DF40C-100DP-0.4V(51),
DNP,TP_1V8 TP_3V3 TP_5V TP_DATA0 TP_EMMC_CLK TP_EMMC_CMD TP_GND,PAD.03X.03,
