Designator,Mid X,Mid Y,Layer,Rotation
C1,21.13,32.64,Bottom,270.0
C2,24.56,33.58,Bottom,180.0
C3,22.40,32.65,Bottom,270.0
C4,22.57,28.33,Bottom,0.0
C5, 5.33,33.15,Bottom,0.0
C8, 5.33,31.88,Bottom,180.0
C9, 5.33,29.08,Bottom,0.0
C14,26.67, 5.49,Bottom,0.0
C17, 5.33,27.81,Bottom,0.0
D1,25.12,28.07,Bottom,90.0
IC2,24.57,31.61,Bottom,90.0
J1,11.96, 3.45,Bottom,180.0
J2,32.77, 3.56,Bottom,0.0
J3,32.77,36.32,Bottom,180.0
L1,22.99,36.46,Bottom,180.0
R1,25.82,29.57,Bottom,90.0
R2,22.57,29.59,Bottom,180.0
R3,22.57,30.86,Bottom,0.0
R4,24.56,29.57,Bottom,270.0
R18,24.78, 5.47,Bottom,180.0
SW1,20.62, 3.01,Bottom,180.0
SW2,26.47, 3.00,Bottom,0.0
U1,13.34,32.77,Bottom,90.0
U2, 5.33,30.48,Bottom,180.0
U5,16.69,16.95,Bottom,270.0
