ANT1	11.21	102.44	270.00	NFC_ANTENNA_25X15	NFCANT_25X15
C1	50.74	31.25	0.00	10uF	CAPC1608X85
C10	32.44	13.78	90.00	1uF	CAPC1608X85
C11	34.25	13.80	90.00	1uF	CAPC1608X85
C12	30.69	13.56	90.00	1uF	CAPC1608X85
C13	28.90	13.33	90.00	1uF	CAPC1608X85
C14	25.18	13.41	270.00	1uF	CAPC1608X85
C15	27.12	13.37	90.00	1uF	CAPC1608X85
C16	32.72	16.57	90.00	1uF	CAPC1608X85
C17	41.68	13.58	270.00	4.7uF/50V	CAPC1608X85
C18	32.75	19.25	90.00	4.7uF	CAPC1608X85
C19	63.86	35.51	90.00	1.0uF	CAPC1608X85
C2	49.54	34.87	270.00	2.2uF	CAPC1608X85
C20	65.45	35.52	90.00	0.47uF	CAPC1608X85
C2040	31.72	31.96	0.00	RP2040TR13QFN56_7X7_RPI	QFN56_7X7_RPI
C21	58.32	25.97	0.00	10uF	CAPC1608X85
C22	53.55	21.87	180.00	1.0uF	CAPC1608X85
C23	62.90	22.93	0.00	10uF	CAPC1608X85
C24	36.58	98.81	270.00	10uF	CAPC1608X85
C25	36.56	91.40	270.00	1.0uF	CAPC1608X85
C26	28.25	94.75	180.00	10uF	CAPC1608X85
C27	28.25	92.85	180.00	0.1uF	CAPC1608X85
C28	34.79	91.40	270.00	10uF	CAPC1608X85
C29	38.34	91.40	270.00	10uF	CAPC1608X85
C3	8.11	9.44	270.00	10uF	CAPC1608X85
C30	35.19	95.86	270.00	1.0uF	CAPC1608X85
C31	38.32	98.86	270.00	10uF	CAPC1608X85
C32	28.36	100.21	180.00	10uF	CAPC1608X85
C33	28.41	96.61	180.00	10uF	CAPC1608X85
C34	38.27	95.75	270.00	10uF	CAPC1608X85
C35	36.75	95.83	270.00	10uF	CAPC1608X85
C36	33.31	87.39	270.00	10uF	CAPC1608X85
C37	35.09	87.39	270.00	10uF	CAPC1608X85
C38	31.53	87.13	270.00	10uF	CAPC1608X85
C39	28.16	91.10	180.00	10uF	CAPC1608X85
C4	50.79	29.50	0.00	0.1uF	CAPC1608X85
C42	36.21	37.40	90.00	0.1uF	CAPC1608X85
C43	24.83	40.58	0.00	0.1uF	CAPC1608X85
C44	24.83	38.80	0.00	0.1uF	CAPC1608X85
C45	2.65	22.54	270.00	10uF	CAPC1608X85
C46	7.99	22.54	270.00	10uF	CAPC1608X85
C47	2.65	33.95	90.00	0.1uF	CAPC1608X85
C48	6.08	22.54	270.00	0.1uF	CAPC1608X85
C49	12.15	25.34	0.00	0.1uF	CAPC1608X85
C5	39.75	13.70	90.00	1uF	CAPC1608X85
C50	4.05	97.19	0.00	0.1uF	CAPC1608X85
C52	4.05	91.12	180.00	33pF	CAPC1608X85
C54	3.67	77.81	0.00	33pF	CAPC1608X85
C57	3.67	79.72	0.00	10uF	CAPC1608X85
C58	4.30	22.67	270.00	0.1uF	CAPC1608X85
C59	4.53	33.87	90.00	10uF	CAPC1608X85
C6	48.56	40.04	90.00	100uF	C1210
C60	6.31	33.87	90.00	10uF	CAPC1608X85
C61	8.42	33.29	270.00	10uF	CAPC1608X85
C62	2.50	41.64	90.00	10uF	CAPC1608X85
C63	23.51	6.61	270.00	100pF	CAPC1608X85
C64	21.12	24.88	0.00	100pF	CAPC1608X85
C65	10.81	32.70	0.00	10uF	CAPC1608X85
C66	10.78	34.61	0.00	2.2uF+	CAPC1608X85
C67	9.39	42.96	0.00	0.1uF	CAPC1608X85
C68	9.39	40.27	0.00	10uF	CAPC1608X85
C69	4.53	41.64	90.00	0.1uF	CAPC1608X85
C7	28.39	98.40	180.00	10uF	CAPC1608X85
C70	17.23	42.53	180.00	0.1uF	CAPC1608X85
C71	19.72	42.05	90.00	0.1uF	CAPC1608X85
C72	22.06	38.72	180.00	0.1uF	CAPC1608X85
C73	22.06	40.50	180.00	0.1uF	CAPC1608X85
C74	22.06	42.28	180.00	0.1uF	CAPC1608X85
C75	24.83	42.35	0.00	1.0uF	CAPC1608X85
C76	22.06	36.94	180.00	1.0uF	CAPC1608X85
C77	22.36	31.97	180.00	0.1uF	CAPC1608X85
C78	22.36	29.93	180.00	0.1uF	CAPC1608X85
C79	17.21	40.58	0.00	10uF	CAPC1608X85
C8	37.86	13.59	90.00	1uF	CAPC1608X85
C80	24.83	37.02	0.00	10uF	CAPC1608X85
C81	13.35	41.47	270.00	0.1uF	CAPC1608X85
C82	39.18	26.05	270.00	15p	CAPC1608X85
C83	27.32	25.97	270.00	15p	CAPC1608X85
C9	36.09	13.77	90.00	1uF	CAPC1608X85
D1	6.42	62.66	90.00	ACT (MHT192JGCT)	LED-0603@1
D2	26.10	18.08	90.00	MBR0530	SOD3716X135N
D3	29.75	18.07	270.00	MBR0530	SOD3716X135N
D4	35.75	18.32	90.00	MBR0530	SOD3716X135N
D5	49.98	16.97	180.00	CHARGING FC-1608B1-470	LED-0603
D6	49.95	18.42	0.00	PMIC	LED-0603
D7	18.75	34.67	270.00	PMIC	LED-0603
FB10	17.23	24.75	0.00	120o	0805-NO
FB2	2.99	37.54	90.00	Ferrite	0805
FB3	4.05	89.09	180.00	Ferrite	0805-NO
FB5	10.94	37.20	0.00	Ferrite	0805
FB9	23.43	10.05	270.00	120o	0805-NO
FL3	43.02	100.59	0.00	BLM18HE152SN1D	BEADC1608X95N
FL4	42.52	90.69	0.00	BLM18HE152SN1D	BEADC1608X95N
FL5	37.64	101.05	0.00	BLM18HE152SN1D	BEADC1608X95N
GND	59.17	42.73	0.00	TEST-POINT3	PAD.03X.03
GND13	63.74	21.78	0.00	TEST-POINT3	PAD.03X.03
GND22	46.21	17.21	0.00	TEST-POINT3	PAD.03X.03
GND25	42.66	85.41	0.00	TEST-POINT3	PAD.03X.03
GND26	46.01	36.59	0.00	TEST-POINT3	PAD.03X.03
GND27	50.00	24.88	0.00	TEST-POINT3	PAD.03X.03
GND34	21.26	35.28	0.00	TEST-POINT3	PAD.03X.03
IC3	6.82	28.38	90.00	WM8960	QFN32_5MM
J1	41.70	40.46	0.00	BM04B-GHS-TBT(LF)(SN)(N)	JST_BM04B-GHS-TBT(LF)(SN)(N)
J2	5.38	15.93	270.00	C393939	USB-C-16P
J3	34.02	10.11	0.00	524372471	CON_524372471_MOL
JP6	61.46	15.64	270.00		JST-2-SMD
L1	45.08	32.22	90.00	6.8uH	INDUCTOR_5X5MM_TDK_VLC5045
L2	41.46	18.32	180.00	ASPI-0403S-100M-T	IND_ASPI-0403S-100M-T
LED2	52.16	42.47	90.00	5VBOOST	CHIPLED_0805_NOOUTLINE
LED3	4.88	62.61	90.00	SYS_POW (19-213/Y2C-CQ2R2L/3T(CY))	LED-0603
LOW_BATT	60.25	36.21	180.00	XL-2012VRC	CHIPLED_0805_NOOUTLINE
LS1	21.20	14.27	0.00	CMS-18138A-SP	CUI_CMS-18138A-SP
OSC1	45.89	88.12	90.00	24MHz 3.3V Oscillator	OSC_3.2X2.5MM
OSC2	15.15	28.82	0.00	ECS-3225MV	OSC_3.2X2.5MM
OV5674	43.17	95.84	270.00	DF30FC-24DS-0.4V(82)CONN_DF30FC-24DS-0.4V(82)_HIR	CONN_DF30FC-24DS-0.4V(82)_HIR
Q1	46.12	9.68	0.00	SI1308EDL-T1-GE3	SOT65P210X110-3N
Q2	57.04	9.77	90.00	2.5A/30V	SOT23-3
R1	57.60	32.38	270.00	1.87M (TPA2005D1DRBR)	R0603
