Designator,Mid X,Mid Y,Layer,Rotation
BUD, 2.67,54.36,Top,270.0
BUP, 2.67,71.37,Top,270.0
BUS,59.35,54.76,Top,90.0
C1,35.75,31.00,Top,0.0
C2,31.44,35.43,Top,180.0
C3,52.11,13.35,Top,180.0
C4,35.80,29.24,Top,0.0
C5,34.00,13.84,Top,90.0
C6,33.58,39.79,Top,90.0
C7,19.94,17.35,Top,90.0
C8,32.74,13.85,Top,90.0
C9,31.48,13.84,Top,90.0
C10,30.23,13.86,Top,270.0
C11,28.95,13.85,Top,270.0
C12,27.16,12.81,Top,90.0
C13,25.89,12.82,Top,90.0
C14,24.64,12.81,Top,90.0
C15,23.39,12.81,Top,90.0
C16,30.27,15.95,Top,270.0
C17,36.29,14.51,Top,0.0
C18,30.21,18.75,Top,90.0
C19,47.68,21.41,Top,0.0
C20,47.68,22.87,Top,180.0
C21,45.62,29.91,Top,0.0
C22,39.50,24.64,Top,90.0
C23,45.76,21.41,Top,0.0
C24,21.34,40.01,Top,0.0
C25,44.70,44.17,Top,0.0
C26,37.59,28.32,Top,90.0
C27,24.79,88.31,Top,0.0
C28,21.84,42.32,Top,0.0
C29,25.98,92.53,Top,180.0
C30,28.48,91.97,Top,270.0
C31,17.27,44.09,Top,90.0
C32,17.78,92.46,Top,270.0
C33,22.10,92.46,Top,90.0
C34,18.24,89.87,Top,180.0
C35,21.59,89.87,Top,180.0
C36,18.90,42.47,Top,0.0
C40,45.75,22.86,Top,0.0
C42,23.74,39.69,Top,270.0
C43,18.61,36.26,Top,90.0
C44,14.80,36.26,Top,90.0
C45, 8.06, 9.92,Top,180.0
C46,10.65, 6.41,Top,270.0
C47, 8.04,11.40,Top,180.0
C48, 9.26, 6.41,Top,270.0
C49,20.46,10.11,Top,90.0
C50,58.44,91.86,Top,180.0
C53,37.97,24.64,Top,90.0
C58, 8.06, 8.40,Top,180.0
C59, 9.49,14.95,Top,90.0
C60,10.76,14.95,Top,90.0
C61,12.01,14.95,Top,90.0
C62, 7.73,15.66,Top,0.0
C63,49.92,44.44,Top,180.0
C64,49.73,22.87,Top,180.0
C65, 3.01, 6.79,Top,0.0
C66, 3.01,13.11,Top,0.0
C67, 3.04,14.77,Top,0.0
C68, 3.04,16.01,Top,0.0
C69, 7.67,14.44,Top,0.0
C71,14.36,21.30,Top,0.0
C72,21.63,32.91,Top,0.0
