Designator,Mid X,Mid Y,Layer,Rotation
ANT1,15.11,97.54,Top,270.0
C1,37.29,28.02,Top,0.0
C2,35.18,31.63,Top,270.0
C3,11.23, 8.97,Top,180.0
C4,37.34,26.26,Top,0.0
C5,38.75, 9.70,Top,90.0
C6,35.12,36.80,Top,90.0
C7,26.17,93.94,Top,180.0
C8,36.86, 9.59,Top,90.0
C9,35.09, 9.77,Top,90.0
C10,31.44, 9.78,Top,90.0
C11,33.25, 9.80,Top,90.0
C12,29.69, 9.56,Top,90.0
C13,27.90, 9.33,Top,90.0
C14,24.18, 9.41,Top,270.0
C15,26.12, 9.37,Top,90.0
C16,31.80,13.79,Top,90.0
C17,46.47,13.41,Top,90.0
C18,29.02,18.14,Top,0.0
C19,60.83,33.90,Top,90.0
C20,62.98,33.91,Top,90.0
C21,50.24,27.25,Top,90.0
C22,56.50,17.97,Top,0.0
C23,60.38,23.25,Top,0.0
C24,34.51,95.51,Top,90.0
C25,26.12,90.44,Top,180.0
C26, 8.00,72.52,Top,180.0
C27, 8.00,70.61,Top,180.0
C30,27.13,87.08,Top,270.0
C31,34.32,90.85,Top,270.0
C32,26.14,95.75,Top,180.0
C33,26.19,92.15,Top,180.0
C34,30.71,85.88,Top,0.0
C35,30.63,88.17,Top,0.0
C36,48.03,87.39,Top,270.0
C37,46.07,87.27,Top,270.0
C38,52.04,87.48,Top,270.0
C39,48.10,96.87,Top,0.0
C40,44.49,99.34,Top,180.0
C45, 2.16,35.81,Top,270.0
C46, 4.19,30.99,Top,270.0
C47, 2.16,39.24,Top,90.0
C48, 2.03,30.99,Top,270.0
C49,12.45,41.40,Top,0.0
C50, 3.05,86.11,Top,0.0
C51,62.61,89.03,Top,180.0
C52, 3.05,80.26,Top,180.0
C53,60.07,86.36,Top,270.0
C54, 3.05,74.42,Top,0.0
C55,62.61,90.68,Top,180.0
C56,58.04,86.36,Top,270.0
C57, 3.05,76.33,Top,0.0
C58, 6.35,31.12,Top,270.0
C63, 6.99,26.29,Top,180.0
C64, 6.99,13.72,Top,180.0
C65, 4.19,43.05,Top,180.0
C66, 7.49,43.05,Top,0.0
D1,19.24,40.50,Top,90.0
D2,25.10,14.08,Top,90.0
D3,28.75,14.07,Top,270.0
D4,34.75,14.32,Top,90.0
D5,49.62,20.53,Top,270.0
D6,50.92,20.53,Top,270.0
FB3, 3.05,78.23,Top,180.0
FB4,62.61,92.33,Top,0.0
FB9, 6.99,24.51,Top,0.0
FB10, 6.86,16.00,Top,0.0
FL1,50.16,87.54,Top,270.0
FL2,48.03,98.38,Top,180.0
IC3, 7.11,37.34,Top,90.0
L1,30.26,29.51,Top,90.0
L2,42.47,15.24,Top,90.0
LED2,33.71,41.16,Top,270.0
LED3,16.33,40.53,Top,90.0
LEFTMIC,62.61,86.36,Top,0.0
LOW_BATT,47.46,38.02,Top,0.0
LS1,15.48,21.61,Top,180.0
OSC1,39.37,98.70,Top,0.0
OSC2,12.45,33.91,Top,90.0
OV5647,43.17,95.84,Top,270.0
Q1,33.43,18.63,Top,0.0
R1,44.66,29.15,Top,270.0
R2,44.66,32.85,Top,270.0
R3,38.55,37.90,Top,270.0
R4,40.49,37.84,Top,270.0
R5,31.39,37.58,Top,90.0
R6,58.89,20.26,Top,0.0
R7,52.97,19.01,Top,270.0
R8,16.35,37.05,Top,270.0
R9,37.81,19.11,Top,270.0
R10,19.25,37.04,Top,270.0
R11,34.03,21.53,Top,180.0
R12,57.79,31.05,Top,90.0
R13,45.59,26.14,Top,0.0
R14,43.99,87.35,Top,270.0
R15,63.03,42.25,Top,0.0
R18,63.03,40.59,Top,0.0
R19,53.90,38.36,Top,0.0
R20,45.59,37.97,Top,90.0
R21,53.89,41.16,Top,0.0
R22,49.94,17.77,Top,0.0
R23,52.43,28.10,Top,90.0
R24,57.35,26.65,Top,90.0
R28, 8.51,51.18,Top,90.0
R29,53.82,32.69,Top,0.0
R31,54.40, 7.80,Top,270.0
R33,63.28,24.06,Top,270.0
RF1, 8.00,80.26,Top,270.0
RIGHTMIC, 3.05,83.31,Top,180.0
RPI-CM1,40.32,46.38,Top,180.0
RPI-CM1-2,40.32,80.37,Top,180.0
S1,52.21, 2.32,Top,180.0
T1,42.92,38.26,Top,0.0
U1,39.99,32.42,Top,0.0
U2,17.37,33.61,Top,180.0
U3,61.29,28.58,Top,180.0
U4,55.15,23.09,Top,90.0
U5,30.78,95.48,Top,90.0
U6,30.78,91.11,Top,90.0
